iter	Passed	Remaining
0	64	64544
1	71	35673
2	78	26030
3	84	21090
4	91	18241
5	98	16353
6	104	14849
7	110	13759
8	116	12854
9	123	12241
10	129	11650
11	135	11179
12	141	10747
13	147	10383
14	153	10084
15	159	9838
16	166	9645
17	172	9422
18	178	9240
19	184	9038
20	190	8888
21	196	8730
22	202	8591
23	208	8470
24	214	8375
25	220	8246
26	225	8135
27	230	8016
28	235	7901
29	242	7842
30	248	7768
31	253	7677
32	259	7597
33	265	7545
34	270	7464
35	276	7413
36	283	7371
37	288	7315
38	295	7274
39	300	7216
40	306	7165
41	311	7113
42	317	7073
43	323	7033
44	329	6994
45	335	6954
46	340	6909
47	347	6883
48	352	6844
49	358	6817
50	365	6797
51	370	6760
52	376	6732
53	382	6700
54	389	6698
55	395	6674
56	402	6652
57	407	6622
58	413	6597
59	420	6580
60	426	6565
61	432	6544
62	437	6510
63	443	6489
64	449	6466
65	454	6434
66	460	6416
67	466	6395
68	472	6369
69	478	6351
70	484	6336
71	490	6316
72	495	6294
73	501	6278
74	508	6265
75	513	6247
76	519	6233
77	525	6206
78	531	6193
79	536	6170
80	542	6156
81	548	6137
82	553	6118
83	560	6110
84	566	6102
85	573	6089
86	578	6075
87	585	6064
88	590	6041
89	595	6023
90	601	6006
91	607	5992
92	613	5979
93	619	5970
94	625	5954
95	630	5937
96	635	5918
97	642	5909
98	647	5896
99	653	5882
100	659	5867
101	664	5853
102	670	5837
103	675	5822
104	682	5814
105	687	5800
106	693	5790
107	699	5776
108	704	5761
109	710	5750
110	717	5744
111	724	5741
112	730	5731
113	735	5716
114	741	5703
115	746	5690
116	753	5684
117	759	5674
118	764	5660
119	769	5645
120	775	5632
121	781	5622
122	787	5611
123	793	5602
124	798	5592
125	804	5580
126	810	5570
127	816	5559
128	821	5545
129	826	5532
130	832	5524
131	838	5513
132	844	5506
133	850	5499
134	857	5496
135	864	5489
136	869	5477
137	874	5465
138	880	5456
139	886	5447
140	893	5444
141	899	5434
142	905	5424
143	910	5414
144	916	5402
145	921	5390
146	926	5377
147	932	5369
148	938	5359
149	943	5348
150	949	5335
151	954	5324
152	959	5312
153	965	5304
154	970	5293
155	976	5284
156	982	5275
157	988	5269
158	994	5260
159	1000	5251
160	1006	5243
161	1011	5233
162	1017	5223
163	1023	5218
164	1029	5212
165	1036	5206
166	1041	5196
167	1047	5187
168	1053	5181
169	1059	5174
170	1065	5165
171	1071	5158
172	1077	5149
173	1083	5142
174	1088	5132
175	1094	5122
176	1099	5113
177	1105	5105
178	1113	5105
179	1120	5104
180	1128	5104
181	1134	5098
182	1140	5092
183	1146	5084
184	1151	5074
185	1157	5067
186	1163	5058
187	1170	5053
188	1176	5048
189	1182	5039
190	1187	5030
191	1193	5021
192	1198	5010
193	1204	5005
194	1210	4998
195	1216	4992
196	1222	4982
197	1233	4995
198	1240	4994
199	1247	4989
200	1253	4983
201	1258	4973
202	1264	4964
203	1269	4955
204	1275	4947
205	1280	4935
206	1286	4927
207	1292	4920
208	1298	4913
209	1304	4907
210	1309	4898
211	1315	4891
212	1321	4884
213	1328	4880
214	1334	4873
215	1340	4867
216	1346	4857
217	1352	4850
218	1358	4843
219	1364	4837
220	1370	4829
221	1375	4821
222	1381	4814
223	1387	4806
224	1392	4797
225	1398	4789
226	1404	4782
227	1410	4774
228	1415	4766
229	1421	4757
230	1426	4750
231	1432	4743
232	1438	4735
233	1444	4728
234	1450	4722
235	1456	4716
236	1462	4707
237	1467	4699
238	1473	4691
239	1478	4682
240	1484	4674
241	1490	4667
242	1496	4662
243	1503	4657
244	1509	4652
245	1515	4643
246	1520	4635
247	1526	4629
248	1536	4635
249	1543	4630
250	1549	4625
251	1555	4618
252	1561	4610
253	1567	4603
254	1573	4596
255	1579	4590
256	1585	4584
257	1591	4576
258	1596	4568
259	1602	4560
260	1608	4555
261	1614	4548
262	1620	4540
263	1627	4536
264	1632	4527
265	1637	4519
266	1643	4512
267	1649	4506
268	1655	4499
269	1661	4493
270	1667	4485
271	1673	4477
272	1678	4469
273	1684	4462
274	1690	4457
275	1696	4449
276	1701	4442
277	1707	4434
278	1713	4428
279	1719	4422
280	1725	4415
281	1731	4408
282	1737	4401
283	1742	4393
284	1747	4385
285	1753	4378
286	1759	4371
287	1765	4363
288	1771	4357
289	1776	4349
290	1783	4344
291	1789	4339
292	1796	4334
293	1802	4328
294	1808	4321
295	1814	4314
296	1820	4308
297	1826	4303
298	1832	4296
299	1838	4289
300	1843	4281
301	1850	4276
302	1856	4269
303	1861	4262
304	1867	4256
305	1873	4248
306	1879	4242
307	1885	4235
308	1891	4228
309	1897	4223
310	1903	4216
311	1907	4205
312	1913	4199
313	1918	4191
314	1923	4183
315	1929	4176
316	1934	4168
317	1940	4162
318	1947	4158
319	1956	4157
320	1964	4154
321	1971	4150
322	1978	4145
323	1984	4140
324	1989	4132
325	1995	4125
326	2001	4119
327	2007	4112
328	2013	4106
329	2019	4100
330	2025	4094
331	2031	4088
332	2037	4081
333	2043	4075
334	2049	4068
335	2054	4060
336	2060	4053
337	2065	4046
338	2072	4040
339	2079	4036
340	2085	4029
341	2090	4022
342	2097	4017
343	2103	4011
344	2109	4004
345	2114	3997
346	2120	3990
347	2126	3983
348	2132	3977
349	2138	3972
350	2144	3965
351	2151	3961
352	2157	3954
353	2163	3948
354	2169	3942
355	2175	3935
356	2181	3929
357	2188	3923
358	2193	3917
359	2199	3911
360	2205	3904
361	2210	3896
362	2216	3889
363	2222	3883
364	2228	3876
365	2233	3868
366	2239	3862
367	2245	3855
368	2251	3850
369	2258	3844
370	2264	3839
371	2270	3833
372	2276	3825
373	2281	3818
374	2286	3811
375	2292	3804
376	2298	3798
377	2304	3792
378	2310	3785
379	2316	3779
380	2322	3773
381	2329	3767
382	2335	3761
383	2340	3754
384	2346	3748
385	2352	3741
386	2357	3734
387	2363	3727
388	2369	3722
389	2374	3714
390	2380	3707
391	2386	3701
392	2392	3695
393	2398	3688
394	2404	3683
395	2409	3675
396	2415	3668
397	2421	3662
398	2427	3656
399	2433	3650
400	2439	3643
401	2445	3637
402	2450	3630
403	2456	3623
404	2461	3616
405	2467	3609
406	2473	3603
407	2479	3598
408	2484	3590
409	2490	3584
410	2496	3577
411	2502	3570
412	2507	3563
413	2513	3557
414	2519	3551
415	2525	3544
416	2531	3539
417	2537	3533
418	2543	3527
419	2549	3520
420	2555	3514
421	2562	3509
422	2568	3503
423	2574	3497
424	2580	3491
425	2586	3484
426	2592	3479
427	2598	3473
428	2604	3466
429	2609	3459
430	2615	3453
431	2621	3446
432	2627	3440
433	2632	3433
434	2638	3427
435	2644	3421
436	2650	3415
437	2656	3408
438	2662	3402
439	2668	3395
440	2674	3390
441	2680	3383
442	2686	3377
443	2691	3370
444	2698	3365
445	2704	3359
446	2710	3353
447	2716	3346
448	2722	3340
449	2729	3335
450	2736	3331
451	2742	3325
452	2747	3318
453	2753	3311
454	2760	3306
455	2767	3301
456	2773	3295
457	2780	3290
458	2786	3284
459	2791	3276
460	2796	3269
461	2802	3263
462	2809	3258
463	2814	3251
464	2820	3244
465	2826	3238
466	2831	3231
467	2836	3224
468	2842	3218
469	2848	3211
470	2854	3205
471	2859	3198
472	2865	3192
473	2871	3185
474	2876	3179
475	2882	3172
476	2888	3166
477	2893	3159
478	2899	3154
479	2905	3147
480	2911	3141
481	2917	3135
482	2923	3128
483	2929	3123
484	2934	3116
485	2940	3109
486	2946	3103
487	2951	3096
488	2956	3089
489	2962	3083
490	2967	3076
491	2973	3070
492	2979	3064
493	2984	3057
494	2990	3050
495	2997	3045
496	3002	3039
497	3008	3033
498	3014	3026
499	3019	3019
500	3025	3013
501	3031	3006
502	3036	3000
503	3041	2993
504	3048	2987
505	3054	2982
506	3060	2975
507	3065	2969
508	3071	2962
509	3076	2955
510	3082	2949
511	3087	2942
512	3093	2936
513	3098	2930
514	3104	2923
515	3109	2916
516	3115	2910
517	3120	2903
518	3126	2897
519	3131	2890
520	3137	2884
521	3142	2877
522	3147	2870
523	3153	2865
524	3159	2858
525	3165	2852
526	3171	2846
527	3177	2840
528	3182	2833
529	3188	2827
530	3195	2822
531	3201	2816
532	3206	2809
533	3212	2803
534	3218	2797
535	3225	2792
536	3231	2786
537	3237	2780
538	3243	2774
539	3247	2766
540	3253	2760
541	3259	2754
542	3265	2748
543	3272	2742
544	3277	2736
545	3283	2730
546	3289	2723
547	3294	2717
548	3300	2711
549	3306	2705
550	3311	2698
551	3316	2691
552	3322	2685
553	3328	2679
554	3333	2673
555	3339	2667
556	3345	2661
557	3351	2655
558	3357	2648
559	3362	2642
560	3367	2635
561	3373	2628
562	3379	2623
563	3384	2616
564	3390	2610
565	3396	2604
566	3402	2598
567	3409	2592
568	3414	2586
569	3419	2579
570	3425	2573
571	3432	2568
572	3437	2561
573	3443	2555
574	3448	2549
575	3455	2543
576	3460	2536
577	3465	2530
578	3470	2523
579	3476	2517
580	3482	2511
581	3488	2505
582	3493	2498
583	3499	2492
584	3504	2486
585	3510	2480
586	3516	2473
587	3523	2468
588	3528	2461
589	3533	2455
590	3538	2449
591	3544	2443
592	3549	2436
593	3556	2430
594	3562	2425
595	3568	2418
596	3573	2412
597	3580	2406
598	3585	2400
599	3591	2394
600	3597	2388
601	3603	2382
602	3608	2375
603	3614	2369
604	3619	2362
605	3625	2357
606	3631	2350
607	3636	2344
608	3642	2338
609	3648	2332
610	3654	2326
611	3660	2320
612	3666	2314
613	3671	2308
614	3677	2302
615	3683	2296
616	3690	2290
617	3696	2285
618	3702	2279
619	3708	2272
620	3714	2267
621	3719	2260
622	3725	2254
623	3730	2247
624	3735	2241
625	3741	2235
626	3746	2228
627	3752	2222
628	3757	2216
629	3762	2209
630	3768	2203
631	3774	2197
632	3780	2191
633	3786	2186
634	3793	2180
635	3798	2174
636	3804	2168
637	3810	2162
638	3815	2155
639	3820	2149
640	3826	2142
641	3829	2135
642	3835	2129
643	3842	2124
644	3848	2117
645	3854	2111
646	3860	2106
647	3865	2099
648	3871	2093
649	3876	2087
650	3882	2081
651	3888	2075
652	3894	2069
653	3900	2063
654	3906	2057
655	3911	2051
656	3917	2044
657	3922	2038
